Column Name,Label
DP05_0087E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population"
DP05_0088E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male"
DP05_0089E,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
DP05_0001PE,Percent!!SEX AND AGE!!Total population
DP05_0002PE,Percent!!SEX AND AGE!!Total population!!Male
DP05_0003PE,Percent!!SEX AND AGE!!Total population!!Female
DP05_0004PE,Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)
DP05_0005PE,Percent!!SEX AND AGE!!Total population!!Under 5 years
DP05_0006PE,Percent!!SEX AND AGE!!Total population!!5 to 9 years
DP05_0007PE,Percent!!SEX AND AGE!!Total population!!10 to 14 years
DP05_0008PE,Percent!!SEX AND AGE!!Total population!!15 to 19 years
DP05_0009PE,Percent!!SEX AND AGE!!Total population!!20 to 24 years
DP05_0010PE,Percent!!SEX AND AGE!!Total population!!25 to 34 years
DP05_0011PE,Percent!!SEX AND AGE!!Total population!!35 to 44 years
DP05_0012PE,Percent!!SEX AND AGE!!Total population!!45 to 54 years
DP05_0013PE,Percent!!SEX AND AGE!!Total population!!55 to 59 years
DP05_0014PE,Percent!!SEX AND AGE!!Total population!!60 to 64 years
DP05_0015PE,Percent!!SEX AND AGE!!Total population!!65 to 74 years
DP05_0016PE,Percent!!SEX AND AGE!!Total population!!75 to 84 years
DP05_0017PE,Percent!!SEX AND AGE!!Total population!!85 years and over
DP05_0018PE,Percent!!SEX AND AGE!!Total population!!Median age (years)
DP05_0019PE,Percent!!SEX AND AGE!!Total population!!Under 18 years
DP05_0024PE,Percent!!SEX AND AGE!!Total population!!65 years and over
DP05_0033PE,Percent!!RACE!!Total population
DP05_0034PE,Percent!!RACE!!Total population!!One race
DP05_0035PE,Percent!!RACE!!Total population!!Two or more races
DP05_0036PE,Percent!!RACE!!Total population!!One race
DP05_0037PE,Percent!!RACE!!Total population!!One race!!White
DP05_0038PE,Percent!!RACE!!Total population!!One race!!Black or African American
DP05_0039PE,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native
DP05_0040PE,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping
DP05_0041PE,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping
DP05_0042PE,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping
DP05_0043PE,Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping
DP05_0044PE,Percent!!RACE!!Total population!!One race!!Asian
DP05_0045PE,Percent!!RACE!!Total population!!One race!!Asian!!Asian Indian
DP05_0046PE,Percent!!RACE!!Total population!!One race!!Asian!!Chinese
DP05_0047PE,Percent!!RACE!!Total population!!One race!!Asian!!Filipino
DP05_0048PE,Percent!!RACE!!Total population!!One race!!Asian!!Japanese
DP05_0049PE,Percent!!RACE!!Total population!!One race!!Asian!!Korean
DP05_0050PE,Percent!!RACE!!Total population!!One race!!Asian!!Vietnamese
DP05_0051PE,Percent!!RACE!!Total population!!One race!!Asian!!Other Asian
DP05_0052PE,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander
DP05_0053PE,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian
DP05_0054PE,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro
DP05_0055PE,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan
DP05_0056PE,Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander
DP05_0057PE,Percent!!RACE!!Total population!!One race!!Some other race
DP05_0058PE,Percent!!RACE!!Total population!!Two or more races
DP05_0059PE,Percent!!RACE!!Total population!!Two or more races!!White and Black or African American
DP05_0060PE,Percent!!RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native
DP05_0061PE,Percent!!RACE!!Total population!!Two or more races!!White and Asian
DP05_0062PE,Percent!!RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native
DP05_0063PE,Percent!!Race alone or in combination with one or more other races!!Total population
DP05_0064PE,Percent!!Race alone or in combination with one or more other races!!Total population!!White
DP05_0065PE,Percent!!Race alone or in combination with one or more other races!!Total population!!Black or African American
DP05_0066PE,Percent!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native
DP05_0067PE,Percent!!Race alone or in combination with one or more other races!!Total population!!Asian
DP05_0068PE,Percent!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander
DP05_0069PE,Percent!!Race alone or in combination with one or more other races!!Total population!!Some other race
DP05_0070PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population
DP05_0071PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
DP05_0072PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican
DP05_0073PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican
DP05_0074PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban
DP05_0075PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino
DP05_0076PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino
DP05_0077PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone
DP05_0078PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone
DP05_0079PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone
DP05_0080PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone
DP05_0081PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone
DP05_0082PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone
DP05_0083PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races
DP05_0087PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population"
DP05_0088PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male"
DP05_0089PE,"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
